typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,156,,,M,,0,,,64,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,3717.0,,3717.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,68,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,124731691.0,,124731691.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,70,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,8296012.0,,8296012.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,72,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,3253425.0,,3253425.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,76,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,40862680575.0,,40862680575.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,84,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,1639833.0,,1639833.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,90,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,459042677.0,,459042677.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,92,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,2147541.0,,2147541.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,96,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,76457300.0,,76457300.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,100,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,637031925.0,,637031925.0,0,False,True
